studyId	sampleId	label_1	label_2	label_3	llabel	s_type	n_reads	n_reads2	n_issues	foodId	description	L1	L4	L6	nature	process	spoilage	target1	target2	biosample	SRA_sample	geo_loc_country	geo_loc_continent	lat_lon	L2	L3
ST141	7745	SA7745	s.ERR4553168	s.ERR4553168_A01BQ	A01BQinfd	Sample	30	30	2	A01BQ	Nyons fermented Olive fruit R2D42C2_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280055	SAMEA7280055	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7746	SA7746	s.ERR4553169	s.ERR4553169_A01BQ	A01BQinfd	Sample	49	49	2	A01BQ	Nyons fermented Olive fruit R2D42C3_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280056	SAMEA7280056	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7747	SA7747	s.ERR4553170	s.ERR4553170_A01BQ	A01BQ000d	Environment	23335	23335	0	A01BQ	Nyons olive fermentation brine R2D42B1_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280057	SAMEA7280057	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7748	SA7748	s.ERR4553171	s.ERR4553171_A01BQ	A01BQ000d	Environment	28105	28105	0	A01BQ	Nyons olive fermentation brine R2D42B2_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280058	SAMEA7280058	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7749	SA7749	s.ERR4553172	s.ERR4553172_A01BQ	A01BQ000d	Environment	30512	30512	0	A01BQ	Nyons olive fermentation brine R2D42B3_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280059	SAMEA7280059	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7750	SA7750	s.ERR4553173	s.ERR4553173_A01BQ	A01BQ000d	Environment	23017	23017	0	A01BQ	Nyons olive fermentation brine R2D42C1_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280060	SAMEA7280060	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7751	SA7751	s.ERR4553174	s.ERR4553174_A01BQ	A01BQ000d	Environment	403	403	2	A01BQ	Nyons olive fermentation brine R2D42C2_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280061	SAMEA7280061	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7752	SA7752	s.ERR4553175	s.ERR4553175_A01BQ	A01BQ000d	Environment	513	513	2	A01BQ	Nyons olive fermentation brine R2D42C3_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280062	SAMEA7280062	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7753	SA7753	s.ERR4553176	s.ERR4553176_A01BQ	A01BQinfd	Sample	1104	1104	2	A01BQ	Nyons fermented Olive fruit R2D21B1_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280063	SAMEA7280063	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7754	SA7754	s.ERR4553177	s.ERR4553177_A01BQ	A01BQinfd	Sample	10507	10507	0	A01BQ	Nyons fermented Olive fruit R2D21B2_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280064	SAMEA7280064	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7755	SA7755	s.ERR4553178	s.ERR4553178_A01BQ	A01BQinfd	Sample	821	821	2	A01BQ	Nyons fermented Olive fruit R2D21B3_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280065	SAMEA7280065	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7756	SA7756	s.ERR4553179	s.ERR4553179_A01BQ	A01BQinfd	Sample	20962	20962	0	A01BQ	Nyons fermented Olive fruit R2D21C1_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280066	SAMEA7280066	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7757	SA7757	s.ERR4553180	s.ERR4553180_A01BQ	A01BQinfd	Sample	20	20	2	A01BQ	Nyons fermented Olive fruit R2D21C2_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280067	SAMEA7280067	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7758	SA7758	s.ERR4553181	s.ERR4553181_A01BQ	A01BQinfd	Sample	58	58	2	A01BQ	Nyons fermented Olive fruit R2D21C3_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280068	SAMEA7280068	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7759	SA7759	s.ERR4553182	s.ERR4553182_A01BQ	A01BQ000d	Environment	30537	30537	0	A01BQ	Nyons olive fermentation brine R2D21B1_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280069	SAMEA7280069	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7760	SA7760	s.ERR4553183	s.ERR4553183_A01BQ	A01BQ000d	Environment	28021	28021	0	A01BQ	Nyons olive fermentation brine R2D21B2_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280070	SAMEA7280070	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7761	SA7761	s.ERR4553184	s.ERR4553184_A01BQ	A01BQ000d	Environment	27662	27662	0	A01BQ	Nyons olive fermentation brine R2D21B3_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280071	SAMEA7280071	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7762	SA7762	s.ERR4553185	s.ERR4553185_A01BQ	A01BQ000d	Environment	42778	42778	0	A01BQ	Nyons olive fermentation brine R2D21C1_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280072	SAMEA7280072	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7763	SA7763	s.ERR4553186	s.ERR4553186_A01BQ	A01BQ000d	Environment	620	620	2	A01BQ	Nyons olive fermentation brine R2D21C2_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280073	SAMEA7280073	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7764	SA7764	s.ERR4553187	s.ERR4553187_A01BQ	A01BQ000d	Environment	1521	1521	2	A01BQ	Nyons olive fermentation brine R2D21C3_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280074	SAMEA7280074	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
